lemma,noun_count,verb_count,majority_tag,total_count,minority_count,minority_ratio,is_flexible,nv_cosine_similarity,n_variation,v_variation
parte,12769,3523,NOUN,16292,3523,0.21624109992634422,True,0.6688898801803589,10.727179527282715,10.00985050201416
facer,2508,12276,VERB,14784,2508,0.16964285714285715,True,0.7972455024719238,9.864643096923828,10.367443084716797
forma,7226,6343,NOUN,13569,6343,0.46746259857027045,True,0.7285704016685486,9.462197303771973,10.573739051818848
ver,2028,5334,VERB,7362,2028,0.2754686226568867,True,0.7931349277496338,11.515209197998047,11.148311614990234
pasar,1527,5222,VERB,6749,1527,0.22625574159134687,True,0.7608778476715088,8.841506004333496,10.119091987609863
partido,4735,485,NOUN,5220,485,0.09291187739463602,True,0.9422671794891357,10.191036224365234,10.207343101501465
tempada,2834,1452,NOUN,4286,1452,0.33877741483901075,True,0.9794875979423523,8.404356002807617,8.544472694396973
escribir,801,3244,VERB,4045,801,0.1980222496909765,True,0.8919036388397217,9.251053810119629,10.997227668762207
dicir,341,3615,VERB,3956,341,0.08619817997977755,True,0.8728358745574951,11.477303504943848,12.302311897277832
conta,1600,2263,VERB,3863,1600,0.4141858659073259,True,0.8563966751098633,9.36686897277832,9.965657234191895
poñer,2034,1798,NOUN,3832,1798,0.4692066805845512,True,0.7611088752746582,9.920783042907715,11.771461486816406
tratar,986,2491,VERB,3477,986,0.2835777969513949,True,0.6548800468444824,7.854066371917725,10.351264953613281
tomar,396,2460,VERB,2856,396,0.13865546218487396,True,0.8957009315490723,9.220792770385742,9.632396697998047
empregar,660,2119,VERB,2779,660,0.2374955019791292,True,0.9807828664779663,9.407578468322754,9.564216613769531
mar,2607,139,NOUN,2746,139,0.0506190823015295,True,0.8994340300559998,7.831130027770996,9.559414863586426
causa,1240,1488,VERB,2728,1240,0.45454545454545453,True,0.8136931657791138,9.70482349395752,9.899909973144531
resultado,2303,180,NOUN,2483,180,0.0724929520741039,True,0.6227747797966003,9.55517292022705,6.278111934661865
contido,700,1719,VERB,2419,700,0.28937577511368334,True,0.6220513582229614,7.582788467407227,9.045669555664062
mostrar,675,1641,VERB,2316,675,0.2914507772020725,True,0.8250245451927185,7.44387149810791,9.896526336669922
tarde,1919,215,NOUN,2134,215,0.1007497656982193,True,0.9898748993873596,8.144475936889648,7.320172309875488
supor,170,1943,VERB,2113,170,0.08045433033601515,True,0.7946947813034058,9.071263313293457,9.027055740356445
marcar,1028,1078,VERB,2106,1028,0.4881291547958215,True,0.796358585357666,8.485690116882324,9.835968017578125
falar,212,1848,VERB,2060,212,0.1029126213592233,True,0.8785523176193237,8.750958442687988,10.266070365905762
rematar,223,1828,VERB,2051,223,0.10872745002437835,True,0.9199138879776001,8.289239883422852,10.305155754089355
composto,645,1265,VERB,1910,645,0.337696335078534,True,0.8176751136779785,8.712113380432129,9.67055892944336
man,1702,157,NOUN,1859,157,0.0844540075309306,True,0.5945364236831665,9.978038787841797,7.756312847137451
figurar,1212,557,NOUN,1769,557,0.3148671565856416,True,0.8475711345672607,8.278359413146973,9.070879936218262
militar,115,1584,VERB,1699,115,0.06768687463213655,True,0.9239339828491211,8.730377197265625,8.902283668518066
axuda,1006,638,NOUN,1644,638,0.3880778588807786,True,0.9486453533172607,8.700713157653809,8.636249542236328
servir,100,1448,VERB,1548,100,0.06459948320413436,True,0.9561116099357605,9.437413215637207,9.793906211853027
rei,666,881,VERB,1547,666,0.4305106658047835,True,0.9894789457321167,8.494370460510254,7.934870719909668
pertencer,146,1296,VERB,1442,146,0.10124826629680998,True,0.8915768265724182,8.63201904296875,9.138897895812988
